iter	RMSE
0	14.77846786
1	14.52938868
2	14.29834207
3	14.06784935
4	13.86945559
5	13.63493384
6	13.40623256
7	13.19967527
8	13.00234793
9	12.80562835
10	12.63157098
11	12.44601955
12	12.25151203
13	12.06288712
14	11.8951458
15	11.70986011
16	11.53296169
17	11.38097473
18	11.21787544
19	11.0750721
20	10.91163259
21	10.75462792
22	10.60219521
23	10.47761563
24	10.34523117
25	10.20642732
26	10.08328936
27	9.950043999
28	9.844580154
29	9.720068994
30	9.608542864
31	9.497094412
32	9.384355843
33	9.270844273
34	9.163555191
35	9.058380179
36	8.952099474
37	8.860195189
38	8.775694862
39	8.688046227
40	8.603489727
41	8.51559974
42	8.4300983
43	8.346618913
44	8.260366857
45	8.19650295
46	8.124414988
47	8.043122587
48	7.979607782
49	7.916222098
50	7.840423947
51	7.771918855
52	7.707289978
53	7.64423127
54	7.585236072
55	7.525537813
56	7.478959845
57	7.424558686
58	7.378097188
59	7.330793297
60	7.276553194
61	7.230920954
62	7.178616606
63	7.136534514
64	7.0953859
65	7.052021742
66	7.012329814
67	6.97272408
68	6.935027078
69	6.891269086
70	6.857192938
71	6.822362097
72	6.782986651
73	6.750223042
74	6.718694837
75	6.685329087
76	6.655270665
77	6.623942769
78	6.590089401
79	6.562903259
80	6.533035376
81	6.51617578
82	6.484091062
83	6.459293144
84	6.430048241
85	6.401267319
86	6.374132049
87	6.34729685
88	6.322975052
89	6.299977645
90	6.279601685
91	6.255024199
92	6.233411112
93	6.208970357
94	6.19044159
95	6.171054159
96	6.152286362
97	6.131621209
98	6.111689626
99	6.093276485
100	6.071827635
101	6.053622453
102	6.035194681
103	6.01647144
104	6.000855163
105	5.983822399
106	5.969760777
107	5.954774316
108	5.941039401
109	5.924704345
110	5.909456088
111	5.893692427
112	5.87914744
113	5.869736245
114	5.853354942
115	5.844015981
116	5.831808947
117	5.817206444
118	5.803948584
119	5.789035785
120	5.776216545
121	5.76488405
122	5.754148276
123	5.743255765
124	5.733172282
125	5.723166773
126	5.711021898
127	5.699245209
128	5.688705431
129	5.677481058
130	5.6663907
131	5.657258671
132	5.650054156
133	5.642911857
134	5.635210042
135	5.62594046
136	5.619489578
137	5.611161653
138	5.602528198
139	5.596902944
140	5.588399659
141	5.578878227
142	5.571953157
143	5.565381171
144	5.55574117
145	5.545806787
146	5.539115389
147	5.532446004
148	5.524845258
149	5.518916634
150	5.513493241
151	5.505654759
152	5.498836699
153	5.493657476
154	5.486072747
155	5.481283389
156	5.475273021
157	5.470398068
158	5.464271475
159	5.459401679
160	5.45563971
161	5.452012824
162	5.446639521
163	5.441273648
164	5.436667294
165	5.433412295
166	5.428953328
167	5.423768363
168	5.417847221
169	5.412203436
170	5.408754674
171	5.406041773
172	5.401307322
173	5.395350503
174	5.390575616
175	5.384433832
176	5.379946492
177	5.375563354
178	5.371792728
179	5.368303466
180	5.363621334
181	5.360811278
182	5.35584676
183	5.352158942
184	5.347064473
185	5.343445015
186	5.339923
187	5.33350857
188	5.328061287
189	5.321469884
190	5.315565674
191	5.312915004
192	5.309080436
193	5.30585376
194	5.302903716
195	5.299413525
196	5.296417595
197	5.292628172
198	5.290358627
199	5.287970177
200	5.285203228
201	5.281349531
202	5.277140965
203	5.273324656
204	5.26963743
205	5.266642202
206	5.264383579
207	5.260301932
208	5.25526518
209	5.250839174
210	5.245919395
211	5.241867712
212	5.23850477
213	5.236455953
214	5.233955691
215	5.231724893
216	5.228700476
217	5.224782617
218	5.223121758
219	5.221734633
220	5.218635057
221	5.215929628
222	5.212252414
223	5.209501164
224	5.207578804
225	5.20687338
226	5.205014646
227	5.203156537
228	5.200425895
229	5.196736967
230	5.19484452
231	5.19306219
232	5.192514751
233	5.191223799
234	5.188589224
235	5.184324376
236	5.182790468
237	5.180229696
238	5.178218732
239	5.176684249
240	5.174941841
241	5.173660099
242	5.171035881
243	5.169234791
244	5.167605901
245	5.165733949
246	5.164216221
247	5.160245574
248	5.157579114
249	5.155784122
250	5.154138261
251	5.153006379
252	5.151166228
253	5.149260385
254	5.147264767
255	5.145158926
